age,gender,height,weight,bf
25.0,1,164.3,61.18,22.0
32.0,1,169.2,68.7,15.2
21.0,0,169.1,56.1,22.6
22.0,1,183.5,76.9,15.7
22.0,0,156.9,46.9,23.0
24.0,1,172.1,64.5,16.8
27.0,1,178.2,75.1,15.9
21.0,0,164.4,48.1,16.9
46.0,0,164.1,49.1,30.5
29.0,0,162.2,51.7,29.2
23.0,0,162.7,51.7,19.0
51.0,1,177.9,67.2,15.8
28.0,1,184.8,84.6,17.2
23.0,0,164.7,44.3,26.7
30.0,1,178.3,93.5,27.3
25.0,0,160.1,51.7,30.7
28.0,1,172.7,69.8,27.6
22.0,1,178.3,73.2,23.4
51.0,1,167.7,72.7,29.0
24.0,0,165.1,49.9,19.3
27.0,0,160.3,47.8,19.5
61.0,0,153.2,62.2,37.0
30.0,1,169.5,71.9,20.6
42.0,1,180.2,73.3,20.4
22.0,1,180.3,91.7,32.1
23.0,0,164.7,62.5,31.4
27.0,0,160.2,54.5,20.7
29.0,1,167.9,70.7,25.3
62.0,1,165.6,67.6,25.7
21.0,1,169.2,92.9,33.3
25.0,1,184.1,74.7,12.6
31.0,0,166.9,64.1,30.5
21.0,1,175.0,66.4,16.5
38.0,1,171.6,66.3,20.5
23.0,0,178.1,64.2,29.2
56.0,1,170.1,61.5,22.0
59.0,1,170.3,71.0,24.5
23.0,0,164.4,54.3,21.7
52.0,1,170.0,75.5,30.4
33.0,1,178.0,74.66,19.0
58.0,0,154.9,51.6,24.1
21.0,0,160.9,61.4,36.5
27.0,1,176.0,72.86,18.6
27.0,1,173.5,65.3,14.3
21.0,0,163.0,62.3,32.9
57.0,1,168.5,66.0,24.1
29.0,0,166.7,52.84,15.2
45.0,1,170.0,70.0,20.0
24.0,0,155.5,64.4,34.8
50.0,0,163.9,52.5,19.6
60.0,1,173.0,68.4,11.4
62.0,1,163.7,63.9,23.3
39.0,0,159.2,45.3,19.6
22.0,0,162.2,60.4,27.1
54.0,0,156.5,52.2,30.1
48.0,1,167.2,68.5,28.2
61.0,0,160.9,63.1,30.9
60.0,1,172.5,76.0,23.1
27.0,1,168.6,67.2,23.7
40.0,0,162.5,51.4,22.5
36.0,1,172.1,65.64,19.9
58.0,1,168.5,74.9,30.1
55.0,0,152.8,55.6,31.3
25.0,0,158.1,57.9,31.5
21.0,1,169.6,64.5,10.9
23.0,0,163.8,57.5,31.7
64.0,1,165.8,61.3,8.5
21.0,1,187.4,84.4,18.8
56.0,0,149.4,51.6,35.1
22.0,1,167.3,61.4,16.4
28.0,0,165.4,62.0,31.1
53.0,0,152.7,46.9,27.5
23.0,1,165.7,62.7,23.2
46.0,1,176.8,80.9,22.7
56.0,0,148.2,54.7,37.7
44.0,1,172.0,71.0,18.1
27.0,1,173.8,68.4,13.9
45.0,1,166.5,71.5,26.6
63.0,1,164.7,73.8,36.7
26.0,1,183.4,83.6,14.1
32.0,1,170.8,72.2,24.1
22.0,0,167.0,50.3,18.9
21.0,1,175.0,84.7,28.0
21.0,1,178.9,75.5,17.2
54.0,0,148.0,53.4,27.9
21.0,1,179.0,82.8,15.4
24.0,1,163.9,64.8,23.6
31.0,1,178.0,84.66,18.9
27.0,1,180.9,77.1,19.9
22.0,0,163.8,54.2,28.4
61.0,0,152.6,56.4,37.6
60.0,1,171.9,60.9,16.7
41.0,0,160.0,50.0,20.6
59.0,1,166.1,67.8,25.9
51.0,1,174.5,71.2,21.2
34.0,1,181.1,70.5,19.4
22.0,0,169.2,53.2,16.0
22.0,0,162.1,55.1,23.2
23.0,0,161.8,47.8,17.2
27.0,0,152.3,55.5,37.5
25.0,0,160.9,63.7,36.1
37.0,0,149.5,38.1,17.3
21.0,1,170.0,50.1,16.3
31.0,1,174.0,67.6,15.6
49.0,1,176.2,73.3,22.2
27.0,1,182.5,81.0,17.8
49.0,0,155.9,57.0,23.3
36.0,0,156.6,55.0,26.6
33.0,1,179.2,76.3,23.8
61.0,0,146.5,56.16,37.3
24.0,0,166.9,70.0,23.7
25.0,1,168.8,63.9,26.0
28.0,0,161.4,55.9,35.2
26.0,0,162.6,57.2,32.6
62.0,1,175.0,68.0,22.6
51.0,1,172.4,75.6,23.3
26.0,1,180.2,103.4,24.7
21.0,0,160.7,56.6,29.2
56.0,0,149.0,46.7,23.2
52.0,1,165.4,74.8,27.5
21.0,0,169.2,64.9,35.3
56.0,0,157.2,60.4,36.2
36.0,1,169.9,67.1,17.9
32.0,0,163.5,55.6,25.5
21.0,0,159.9,49.7,25.4
63.0,1,165.8,63.9,20.7
32.0,1,168.0,69.8,21.9
28.0,1,175.1,75.5,13.8
40.0,1,169.8,84.1,25.0
26.0,0,158.8,56.9,27.6
56.0,0,156.9,49.9,35.9
22.0,1,168.4,69.9,15.0
29.0,1,172.7,72.6,27.5
61.0,1,171.6,86.4,28.7
54.0,0,162.9,51.4,29.4
56.0,1,168.8,66.4,23.8
36.0,1,173.0,72.7,19.2
24.0,1,167.5,65.66,19.1
59.0,0,145.7,51.6,41.4
23.0,0,158.2,47.9,30.4
41.0,1,179.3,73.4,18.0
35.0,1,169.9,61.7,22.2
30.0,1,163.7,65.5,23.6
44.0,0,167.8,63.8,24.3
28.0,1,170.0,74.0,28.0
22.0,1,169.5,65.0,20.1
21.0,1,187.9,74.7,21.06
53.0,1,170.0,75.1,22.4
21.0,0,158.4,48.9,22.7
63.0,0,157.6,58.2,29.2
23.0,0,161.1,53.0,28.4
62.0,1,174.7,71.9,23.6
32.0,1,179.7,90.0,29.3
38.0,1,172.3,71.6,15.5
24.0,1,180.3,80.2,24.7
23.0,1,183.3,79.4,19.8
63.0,1,172.4,71.66,18.9
27.0,1,178.8,73.38,7.8
59.0,0,158.2,54.34,29.6
36.0,0,166.5,53.7,25.9
34.0,0,167.5,65.8,26.0
23.0,1,180.4,90.5,26.8
21.0,0,158.8,49.7,28.4
24.0,1,177.0,89.9,18.9
55.0,1,170.0,75.5,20.6
43.0,1,169.0,68.6,12.4
22.0,0,159.3,54.0,21.3
46.0,1,173.9,69.4,17.8
24.0,1,176.0,77.5,24.7
56.0,0,164.0,57.6,23.2
28.0,1,171.4,76.8,25.1
53.0,0,160.4,59.3,20.3
30.0,1,179.2,76.5,12.6
21.0,0,153.0,56.9,40.2
59.0,0,162.0,65.3,37.6
27.0,0,164.6,56.9,29.4
38.0,1,179.9,82.2,18.0
41.0,1,167.9,72.4,20.7
21.0,0,168.4,60.2,34.2
23.0,0,163.7,53.4,29.6
21.0,0,166.3,47.6,25.3
63.0,1,160.5,68.2,28.7
22.0,1,182.9,72.4,12.3
28.0,1,170.3,52.5,16.8
25.0,0,154.0,57.9,33.1
39.0,1,176.9,90.1,21.5
22.0,1,180.6,80.0,25.2
30.0,1,170.2,62.9,14.7
30.0,1,185.2,108.9,23.1
24.0,0,162.8,59.7,32.6
64.0,1,163.8,68.5,30.9
22.0,0,166.0,68.8,31.3
64.0,0,155.5,60.0,34.9
26.0,1,170.1,67.1,16.4
39.0,0,159.3,50.6,30.8
50.0,1,165.2,67.0,28.4
45.0,0,159.2,59.1,30.7
52.0,0,150.3,49.1,33.6
25.0,1,184.0,75.7,9.2
25.0,1,175.3,63.7,9.9
35.0,1,177.3,82.7,23.8
63.0,1,169.4,76.1,24.3
31.0,1,167.0,71.1,20.0
42.0,0,158.1,51.0,14.0
25.0,0,158.6,46.2,17.8
24.0,0,156.1,49.4,25.1
22.0,1,175.1,67.5,18.3
26.0,1,172.9,83.3,31.5
22.0,0,166.0,54.9,23.5
46.0,1,168.0,58.7,23.2
37.0,1,181.2,86.0,23.0
28.0,1,170.0,84.2,13.5
24.0,1,176.1,74.8,24.3
27.0,1,170.0,75.9,34.4
28.0,1,171.0,74.6,25.2
23.0,0,163.5,58.5,27.9
39.0,1,170.8,68.9,19.9
55.0,0,154.6,58.9,41.3
41.0,1,176.2,93.1,35.8
36.0,0,165.8,55.78,26.7
29.0,1,172.7,71.8,15.7
35.0,1,173.1,77.6,22.8
41.0,1,177.0,81.7,24.2
23.0,0,161.8,58.7,29.6
22.0,1,175.8,73.3,17.5
52.0,0,159.5,55.2,31.5
63.0,0,175.1,81.2,26.3
64.0,1,159.3,56.5,19.8
41.0,1,175.7,81.2,22.0
22.0,0,158.5,49.3,27.0
21.0,0,170.5,67.8,30.7
44.0,1,177.4,87.9,25.9
50.0,0,157.3,51.1,29.1
26.0,1,180.8,69.26,13.6
53.0,1,167.0,65.7,23.7
29.0,1,185.0,85.8,23.6
47.0,1,177.7,87.7,28.5
25.0,1,179.4,74.3,12.4
40.0,0,159.1,50.4,16.6
51.0,0,161.2,47.8,17.1
40.0,0,163.3,47.7,16.1
27.0,0,169.8,64.9,26.9
24.0,1,179.4,78.1,23.9
28.0,1,171.4,68.3,12.6
43.0,1,174.6,104.9,36.2
54.0,1,176.0,68.9,18.9
23.0,0,167.2,54.8,24.5
28.0,1,175.4,69.9,14.9
29.0,1,170.0,66.0,20.6
54.0,1,163.0,75.5,23.1
23.0,1,178.6,83.9,17.9
35.0,0,158.3,70.1,32.8
29.0,0,161.4,61.8,29.8
37.0,1,174.1,80.2,28.2
29.0,1,178.8,72.9,13.7
45.0,1,160.0,59.3,20.2
22.0,0,159.1,51.3,29.1
47.0,1,174.3,78.1,22.8
44.0,1,176.9,85.2,24.7
26.0,0,161.9,53.9,20.7
32.0,1,165.9,74.8,24.3
48.0,0,161.5,49.4,22.4
56.0,1,162.3,56.68,15.9
26.0,1,180.6,73.4,17.5
22.0,1,177.1,71.4,18.1
43.0,0,166.2,51.8,16.5
37.0,0,170.0,63.0,25.9
33.0,0,162.7,53.9,33.4
48.0,1,168.6,71.0,22.0
22.0,1,175.8,66.6,14.7
27.0,1,173.9,79.0,27.0
38.0,1,171.4,71.7,17.2
62.0,1,164.5,64.02,17.8
31.0,1,176.5,69.3,12.7
22.0,1,175.0,69.8,15.0
29.0,1,179.0,79.1,5.0
22.0,1,170.0,73.6,23.9
50.0,0,153.9,43.8,23.2
32.0,1,176.3,71.8,21.2
46.0,1,163.5,71.1,28.6
31.0,1,178.0,78.2,19.4
22.0,1,179.6,70.0,13.1
28.0,1,176.2,83.7,20.5
31.0,1,173.7,83.8,29.6
59.0,1,165.7,57.6,13.6
34.0,0,162.1,79.3,43.5
37.0,1,170.8,60.5,11.5
64.0,0,153.2,50.1,28.2
63.0,0,147.4,52.1,31.1
25.0,0,160.0,53.1,26.1
57.0,0,159.2,68.6,32.1
41.0,1,177.1,74.9,17.0
27.0,1,179.5,87.0,19.5
48.0,1,166.9,69.5,26.8
26.0,0,157.6,50.1,23.9
30.0,1,179.5,90.8,18.3
34.0,1,175.0,71.0,19.7
23.0,1,182.7,67.6,11.6
30.0,1,185.0,77.9,21.0
25.0,1,175.0,72.6,22.0
25.0,1,174.3,79.68,20.5
35.0,1,184.6,79.0,22.6
54.0,0,162.4,56.2,23.7
50.0,0,154.6,53.2,25.1
21.0,1,175.1,103.6,39.1
64.0,0,163.6,55.2,27.1
24.0,1,173.6,71.2,17.1
39.0,0,167.8,65.7,30.1
21.0,1,183.0,80.1,17.6
27.0,1,165.8,73.8,29.1
36.0,1,166.7,74.1,20.3
23.0,0,162.7,63.9,36.7
24.0,0,164.8,52.0,22.1
62.0,0,162.4,68.1,25.3
39.0,0,161.5,52.0,26.4
62.0,0,155.0,50.7,31.1
22.0,0,154.8,59.3,34.2
64.0,0,158.0,62.3,32.8
22.0,1,172.1,80.2,23.0
22.0,1,172.9,76.3,20.7
24.0,0,165.2,53.7,28.9
43.0,1,171.3,65.76,22.9
25.0,1,176.4,70.4,19.3
36.0,0,156.1,48.9,21.8
49.0,1,181.9,73.4,16.4
54.0,0,150.9,54.4,32.6
56.0,1,173.7,76.3,20.3
24.0,1,179.3,86.4,22.57
46.0,1,176.1,69.2,11.3
24.0,0,160.0,51.8,32.8
21.0,1,174.8,78.7,20.1
21.0,0,160.8,48.9,27.3
25.0,0,168.1,57.5,30.2
21.0,1,169.5,61.6,12.4
51.0,1,169.0,69.0,23.0
21.0,1,175.8,66.26,9.9
21.0,1,171.6,72.5,24.5
44.0,0,157.6,46.8,22.9
62.0,0,153.3,54.9,30.4
63.0,1,174.4,71.8,22.1
38.0,0,163.1,61.0,26.5
38.0,0,166.2,60.4,23.2
52.0,1,163.4,61.3,16.9
31.0,1,177.8,89.3,24.9
54.0,0,157.1,66.2,39.9
24.0,1,170.6,69.9,3.0
28.0,1,174.5,69.4,16.1
35.0,1,171.5,76.2,18.9
25.0,1,171.4,69.4,15.7
32.0,1,164.0,65.8,20.6
27.0,0,160.4,55.68,24.3
63.0,1,166.8,58.4,20.7
26.0,1,167.3,63.3,12.4
28.0,1,167.8,65.5,17.5
35.0,0,159.4,55.7,30.1
56.0,1,171.4,75.0,23.5
24.0,0,166.6,66.0,30.2
42.0,1,181.6,79.6,25.6
27.0,1,180.0,92.6,29.2
46.0,1,172.5,78.7,22.0
28.0,1,173.3,70.8,24.6
48.0,1,175.3,96.7,30.7
28.0,1,171.6,62.2,10.8
37.0,1,169.3,73.84,27.7
35.0,1,168.1,67.1,17.7
37.0,1,170.0,83.6,20.8
28.0,0,167.0,60.5,19.5
30.0,1,171.5,70.7,22.2
50.0,1,167.8,76.1,24.8
22.0,0,167.4,66.2,34.0
46.0,1,170.0,77.1,24.8
31.0,0,165.1,55.1,25.7
54.0,0,164.6,67.1,29.9
36.0,0,155.4,49.9,24.17116
37.0,1,171.9,96.6,38.6
37.0,1,172.0,73.1,14.1
21.0,1,183.5,88.7,27.0
62.0,0,152.7,59.8,33.5
47.0,0,153.5,54.4,31.4
24.0,0,160.4,58.7,29.1
26.0,1,174.8,81.8,22.7
29.0,0,161.1,55.9,32.8
60.0,0,155.1,52.2,31.8
45.0,1,174.5,87.7,31.9
61.0,0,164.7,82.3,43.7
63.0,1,163.9,57.6,20.0
22.0,0,152.9,45.0,20.8
21.0,1,185.9,69.5,11.9
32.0,1,177.3,77.5,15.5
26.0,0,164.5,63.2,28.2
22.0,1,179.3,75.1,16.7
28.0,0,159.5,48.8,24.3
28.0,0,160.6,53.3,22.4
30.0,0,167.2,61.0,34.3
26.0,0,159.3,49.0,20.9
63.0,0,156.9,55.9,31.3
22.0,0,164.2,47.4,22.3
23.0,1,173.0,66.8,12.0
42.0,1,172.2,70.9,20.5
24.0,1,172.0,70.6,14.7
33.0,1,186.8,117.5,28.3
34.0,1,170.6,71.7,9.7
24.0,0,168.2,54.0,15.9
22.0,0,164.3,59.44,28.3
33.0,0,154.0,54.7,33.9
60.0,1,165.5,74.2,35.2
25.0,1,171.0,77.4,22.0
27.0,1,182.0,80.8,24.1
26.0,1,177.0,79.0,17.0
56.0,0,159.5,50.0,28.5
63.0,1,159.3,64.6,24.9
22.0,1,169.3,62.3,17.2
24.0,0,160.7,58.2,28.5
38.0,1,173.5,77.7,24.7
54.0,1,171.5,72.9,20.8
25.0,1,182.0,93.5,22.1
59.0,0,148.2,53.3,37.4
22.0,0,163.2,52.4,22.7
24.0,0,167.9,55.9,28.9
24.0,0,164.9,55.4,20.3
22.0,1,175.6,96.4,36.6
55.0,0,161.0,61.9,35.6
46.0,0,163.0,63.8,34.6
22.0,0,168.6,71.0,33.9
26.0,0,162.1,56.9,25.14121
29.0,1,166.8,69.2,26.5
46.0,1,167.2,71.1,27.6
61.0,1,161.1,66.1,28.0
21.0,1,173.7,73.0,16.4
32.0,0,151.2,52.4,31.7
27.0,1,171.8,74.8,24.1
22.0,1,179.4,70.5,17.8
58.0,1,177.7,73.9,19.0
26.0,1,172.3,65.9,14.4
21.0,0,164.2,64.0,29.7
59.0,1,169.4,75.9,24.5
24.0,0,173.3,65.3,33.6
45.0,1,168.0,62.0,12.2
22.0,1,179.4,78.6,16.5
35.0,1,191.6,125.7,35.2
28.0,1,169.1,64.0,22.6
29.0,0,158.4,57.22,27.8
60.0,1,169.7,73.9,28.1
22.0,1,184.9,73.9,10.2
21.0,0,172.8,54.8,25.0
37.0,1,173.4,70.0,22.5
35.0,0,154.0,47.6,23.9
26.0,0,170.0,58.9,18.3
57.0,0,161.3,59.8,29.1
29.0,1,177.9,65.2,10.6
35.0,1,181.5,98.5,22.8
38.0,1,167.7,67.9,15.6
28.0,1,164.3,63.2,26.2
63.0,1,167.4,59.8,22.0
47.0,1,167.8,68.8,14.8
57.0,1,168.2,74.5,20.2
30.0,1,180.0,85.08,13.1
35.0,1,164.6,66.0,15.7
24.0,1,165.7,63.5,20.0
28.0,0,158.6,45.8,24.2
59.0,1,174.5,72.4,20.0
42.0,1,172.1,65.74,22.3
45.0,1,164.7,56.1,14.1
51.0,0,163.3,55.0,25.6
39.0,0,162.1,45.0,19.4
40.0,1,169.5,75.6,28.1
25.0,0,163.5,56.18,28.2
58.0,0,155.6,82.0,47.1
29.0,1,181.2,94.72,15.8
24.0,1,172.1,72.4,16.1
58.0,1,167.5,65.5,17.8
38.0,0,156.3,44.9,24.3
62.0,1,172.1,71.52,23.7
35.0,0,156.4,48.5,18.2
31.0,0,159.3,47.9,19.2
51.0,1,163.5,53.8,17.3
24.0,1,174.9,75.1,18.2
30.0,1,175.2,71.5,12.6
36.0,1,172.5,80.8,19.9
36.0,0,158.5,53.56,19.5
26.0,0,160.0,62.4,31.3
39.0,1,175.5,88.1,31.0
28.0,1,169.1,70.8,28.0
31.0,1,175.1,76.2,19.7
32.0,1,167.1,69.5,26.0
21.0,0,153.9,58.8,32.3
60.0,1,164.3,74.0,29.3
23.0,1,172.8,76.4,18.4
21.0,1,186.4,92.5,11.2
45.0,0,164.0,51.7,24.5
31.0,1,168.5,68.2,19.6
31.0,1,168.4,63.38,19.4
26.0,1,169.9,95.5,33.0
43.0,0,162.7,51.1,25.5
28.0,0,168.6,60.2,24.5
21.0,1,157.5,45.5,11.2
26.0,1,170.3,64.6,16.6
21.0,0,168.2,77.9,31.6
21.0,1,169.3,71.1,21.2
37.0,1,172.1,72.5,28.1
61.0,1,167.2,69.7,26.1
29.0,0,160.7,49.24,22.0
59.0,0,163.3,62.54,34.8
21.0,1,173.0,70.3,11.2
21.0,1,171.0,67.3,11.0
26.0,1,176.0,80.5,12.0
31.0,1,166.9,73.6,26.6
25.0,0,158.1,56.3,29.6
23.0,0,166.0,55.8,26.4
36.0,1,170.4,66.0,17.1
25.0,0,163.8,54.2,35.8
44.0,1,185.6,87.1,19.5
34.0,1,158.3,64.1,25.5
64.0,1,160.5,67.9,26.7
23.0,0,158.7,67.2,36.8
42.0,0,165.4,65.9,15.7522
28.0,0,159.6,50.8,27.3
22.0,1,176.5,69.88,17.0
61.0,1,167.4,57.1,19.7
22.0,1,166.0,76.1,19.1
32.0,1,163.5,70.4,25.6
56.0,0,158.6,59.74,27.1
25.0,1,170.7,66.8,15.9
21.0,1,185.8,83.6,13.4
23.0,0,152.7,48.08,27.0
28.0,0,153.6,54.7,39.0
23.0,1,172.0,72.0,28.6
45.0,0,155.9,58.2,37.2
60.0,1,172.5,73.9,21.2
33.0,1,168.7,62.3,22.7
53.0,1,170.4,68.8,23.4
22.0,1,169.0,73.8,17.7
45.0,1,167.4,82.9,33.4
31.0,1,185.3,93.14,19.0
25.0,1,185.0,88.1,18.0
39.0,1,169.9,62.7,19.9
22.0,0,163.3,57.2,25.2
26.0,1,181.9,87.3,24.8
35.0,0,151.7,44.1,26.6
28.0,1,180.1,75.4,18.5
39.0,1,184.4,85.7,18.5
29.0,1,171.5,75.36,27.1
40.0,1,180.1,82.4,15.1
46.0,1,168.4,75.0,19.0
29.0,0,159.6,61.9,38.3
26.0,1,165.9,68.7,16.5
36.0,1,176.7,72.7,9.7
27.0,0,174.4,64.4,29.1
36.0,1,168.0,83.5,22.9
24.0,0,161.7,50.0,24.8
26.0,0,163.5,52.0,19.3
23.0,0,175.1,70.8,34.2
48.0,0,153.0,51.7,27.5
56.0,1,162.7,74.8,31.3
23.0,1,179.0,78.6,17.5
44.0,1,167.1,59.9,18.8
21.0,0,163.3,45.3,17.0
42.0,1,174.7,76.2,20.5
52.0,0,159.0,59.5,30.0
26.0,1,171.1,72.7,26.3
29.0,1,184.3,89.5,17.8
21.0,0,163.4,55.92,30.9
60.0,0,162.6,63.2,34.4
25.0,0,163.5,54.5,25.0
23.0,1,162.6,63.8,17.9
24.0,0,163.7,61.0,38.3
53.0,1,180.8,78.0,25.9
51.0,0,159.6,79.9,43.8
37.0,0,163.9,67.0,30.0
37.0,0,155.0,71.1,24.6
37.0,1,172.6,78.26,30.7
23.0,1,175.2,70.8,15.5
61.0,0,153.3,52.3,37.0
50.0,1,167.8,69.6,24.2
38.0,0,170.6,62.8,32.8
35.0,1,179.0,79.0,13.5
26.0,0,154.5,60.4,33.8
25.0,1,172.5,62.4,6.3
62.0,1,176.5,70.9,19.1
34.0,0,159.4,69.2,35.9
32.0,0,153.6,49.4,31.9
27.0,0,166.3,52.3,26.5
33.0,1,169.3,71.1,20.0
30.0,1,172.9,82.7,24.9
56.0,1,168.9,72.28,21.6
29.0,1,187.0,85.3,14.6
36.0,1,167.9,65.5,18.7
47.0,0,158.2,55.9,27.14
64.0,0,153.3,66.3,38.5
55.0,1,172.9,67.5,18.7
27.0,0,151.5,49.8,31.1
38.0,0,166.6,64.6,20.3
24.0,1,174.8,72.4,11.6
41.0,0,165.2,67.5,30.4
58.0,0,157.8,57.6,32.0
28.0,1,178.0,82.2,29.3
23.0,0,163.1,55.2,32.3
58.0,1,168.7,76.1,27.5
21.0,0,158.0,52.4,30.9
34.0,1,171.1,68.4,18.5
50.0,1,177.8,86.3,26.3
62.0,0,149.1,60.0,37.1
27.0,1,174.5,76.8,14.6
52.0,1,145.8,58.6,45.8
44.0,0,155.0,62.0,31.8
23.0,0,168.8,59.3,18.7
59.0,1,170.8,72.3,24.2
24.0,1,181.4,86.8,19.3
28.0,1,178.0,83.46,19.4
60.0,0,169.3,61.3,26.1
41.0,1,176.0,78.4,22.8
60.0,1,164.7,55.8,17.7
57.0,0,154.3,62.7,30.2
23.0,0,165.9,55.5,26.9
33.0,1,172.7,66.1,18.3
37.0,0,167.8,70.0,35.6
63.0,1,167.6,57.5,15.0
26.0,1,172.1,73.0,17.8
26.0,0,170.4,66.8,24.3
63.0,0,150.2,51.9,37.4
21.0,1,177.6,74.5,78.4
57.0,1,175.5,82.3,25.4
26.0,1,172.0,76.7,29.2
50.0,1,173.6,68.9,22.3
43.0,0,159.9,56.4,25.8
61.0,1,177.8,78.1,15.1
21.0,1,172.5,71.3,20.6
56.0,1,167.3,54.7,18.7
39.0,1,178.3,80.3,21.0
61.0,1,159.4,56.3,25.2
26.0,0,158.2,60.9,32.5
25.0,1,171.9,80.5,29.0
29.0,0,162.5,57.2,33.5
25.0,0,159.0,50.3,20.1
45.0,0,159.0,50.1,16.0
27.0,1,176.0,70.8,16.7
27.0,0,168.1,72.7,33.7
26.0,1,176.1,73.7,18.1
50.0,1,165.5,71.6,19.5
22.0,1,170.3,63.1,16.9
35.0,1,168.1,67.6,11.1
27.0,1,171.0,63.5,14.7
24.0,1,170.2,79.7,13.2
25.0,1,162.9,60.3,27.4
21.0,1,171.9,61.4,17.6
64.0,1,163.4,62.1,27.3
21.0,1,179.1,70.5,12.0
60.0,0,153.2,50.2,32.6
52.0,1,169.3,68.8,23.5
35.0,1,173.7,68.5,23.2
35.0,1,169.7,97.26,33.6
58.0,1,177.4,73.2,15.8
41.0,1,170.2,85.4,21.3
23.0,1,182.8,88.8,28.8
47.0,1,176.5,77.0,15.9
30.0,1,180.3,89.2,16.8
62.0,0,162.8,58.2,23.8
48.0,1,179.2,79.7,27.3
57.0,0,160.4,62.4,32.7
32.0,1,175.7,61.3,19.6
30.0,1,167.2,60.6,22.3
